43.01	35.74	37.46	36.83	724
43.01	35.96	37.46	36.83	1735
43.02	36.61	37.04	36.39	18
43.02	36.39	37.67	37.25	-663
43.02	35.74	37.25	36.61	-1888
43.03	36.18	37.88	37.04	-1305
43.03	35.51	36.83	36.18	22
43.03	36.39	37.67	36.61	0
43.04	36.18	37.46	36.61	0
43.04	35.51	37.25	36.61	0
43.04	36.39	37.88	37.04	0
43.04	35.74	37.46	36.83	0
43.05	35.74	37.25	36.39	0
43.05	35.74	37.25	35.96	0
43.05	36.18	37.46	36.39	0
43.06	36.39	37.67	35.51	745
43.06	36.39	37.67	36.83	936
43.06	36.61	37.88	37.04	316
43.07	36.83	37.46	36.61	406
43.07	36.61	37.25	35.96	361
43.07	35.96	37.25	41.66	869
43.08	35.74	37.46	36.61	1094
43.08	35.96	37.46	36.61	1140
43.08	36.83	37.46	37.25	959
43.09	36.18	37.88	36.39	677
43.09	35.29	37.04	35.74	1275
43.09	36.39	37.67	37.04	993
43.10	35.96	37.46	36.83	1704
43.10	35.29	37.04	36.61	1388
43.10	36.39	37.04	37.25	1106
43.11	36.61	37.88	36.39	1962
43.11	35.51	37.67	37.04	507
43.11	35.96	37.25	36.39	1523
43.12	34.84	37.67	36.39	1918
43.12	36.39	37.67	36.61	620
43.12	36.39	38.09	37.04	-1170
43.13	36.61	37.67	35.96	993
43.13	36.18	37.46	36.61	699
43.13	35.74	35.96	36.39	1252
43.14	35.29	36.83	37.25	1840
43.14	35.51	37.46	36.61	-238
43.14	37.04	38.5	37.25	-169
43.15	36.18	36.61	36.61	279
43.15	36.18	37.25	36.61	-773
43.15	36.39	37.46	35.74	1102
43.16	35.96	37.25	36.61	-1452
43.16	35.74	37.67	40.7	270
43.16	35.96	37.67	37.25	451
43.17	36.39	37.25	36.39	474
43.17	35.96	37.46	41.85	428
43.17	36.18	37.67	37.04	-1463
43.18	35.74	37.67	36.39	-389
43.18	35.51	37.04	35.29	-1258
43.18	35.29	37.25	37.46	1414
43.19	36.39	37.67	36.61	1829
43.19	36.39	37.67	36.39	530
43.19	36.18	38.09	37.04	462
43.20	36.18	37.88	37.25	643
43.20	35.07	37.88	37.04	451
43.20	34.61	38.3	36.83	1027
43.20	36.83	37.25	37.04	1117
43.21	35.96	37.88	35.74	1072
43.21	35.74	38.71	36.83	891
43.21	36.61	38.09	37.04	1004
43.22	36.39	37.46	36.61	846
43.22	35.96	37.46	36.61	744
43.22	36.18	37.88	36.83	744
43.23	36.61	37.88	37.04	1106
43.23	35.29	37.46	36.18	959
43.23	36.39	37.46	36.61	1331
43.24	38.09	37.67	36.39	1083
43.24	33.46	38.5	37.25	1444
43.24	36.39	37.46	36.39	1275
43.25	35.96	37.46	36.61	1399
43.25	36.39	37.88	36.83	925
43.25	34.61	37.67	37.04	1049
43.26	37.04	37.88	37.04	1049
43.26	37.46	37.67	35.96	1004
43.26	36.39	38.09	36.83	1151
43.27	36.83	38.09	36.83	1230
43.27	36.83	38.3	36.39	1275
43.27	36.83	38.3	37.04	857
43.28	36.61	38.3	37.25	530
43.28	35.74	37.67	37.25	1760
43.28	36.18	37.88	37.25	1964
43.29	36.18	37.88	37.04	0
43.29	35.51	37.25	36.83	33
43.29	36.18	37.88	36.83	0
43.30	36.39	37.46	37.25	0
43.30	35.74	37.88	37.04	0
43.30	35.96	36.83	36.61	0
43.31	36.39	37.46	36.83	0
43.31	36.61	38.3	37.67	0
43.31	36.18	38.09	37.25	0
43.32	36.39	37.67	37.04	0
43.32	36.61	37.04	36.39	0
43.32	35.96	37.46	36.83	0
43.33	35.96	37.88	37.04	0
43.33	36.83	37.04	37.04	0
43.33	33.92	37.67	37.04	0
43.34	35.74	37.25	36.83	0
43.34	36.39	37.88	36.39	0
43.34	36.39	37.88	37.04	0
43.35	36.18	37.88	36.61	0
43.35	35.51	37.67	36.61	0
43.35	35.96	37.67	36.83	0
43.35	35.74	37.88	36.83	0
43.36	35.51	37.88	36.61	0
43.36	35.29	37.04	36.61	0
43.36	36.61	37.88	36.83	0
43.37	36.39	38.3	35.51	0
43.37	36.39	38.09	37.46	0
43.37	35.07	37.46	36.61	0
